filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
ashraf_001.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_002.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_003.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_004.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_005.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_006.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_007.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_008.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_009.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire. Protestors are chanting “don’t be scared; we are in it together” and other revolution chants. ,"این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد. تظاهرکنندگان ""نترسید نترسید ما همه با هم هستیم"" و دیگر شعار های انقلابی سر میدهند.",Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
ashraf_010.mp4,۱۳۸۸/۱۲/۲۵,03/16/2010,2010-03-16,,,Tehran,تهران,Iran,ایران,This video displays people protesting on the night of the Iranian Festival of Fire.,این ویدیو تظاهرات مردم در شب چهار شنبه سوری را نشان میدهد.,Protest,تظاهرات,,,Protest at the Festival of Fire,تظاهرات چهار شنبه سوری,moving image,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
