filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv3_011.mp4,۱۳۸۹/۱۰/۱۲,1/2/11,2011-01-02,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the annual report of Reporters Without Borders on the situation of journalists in Iran. ,این ویدیو به گزارش تلویزیون رسا پیرامون گزارش سالیانه گزارشگران بدون مرز از وضعیت روزنامه,RASA TV / Press / Prisoner of conscience  ,زندانی عقیدتی,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_012.mp4,۱۳۸۹/۰۹/۰۶,11/27/10,2010-11-27,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the latest report released by the International Atomic Energy Agency on Iran’s nuclear activities.,این ویدیو به گزارش تلویزیون رسا پیرامون گزارش آژانس بین,RASA TV / Nuclear Program,برنامه هسته,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_013.mp4,۱۳۸۹/۱۲/۲۱,3/12/11,2011-03-12,,,Ottawa,اُتاوا,Canada,کانادا,This video is a RASA TV report on the situation of women’s rights in Iran and celebration of the International Women’s Day in Canada.,این ویدیو به گزارش تلویزیون رسا پیرامون وضعیت حقوق زنان در ایران و جشن گرفتن روزِ جهانی,RASA TV / Women’s Rights / Women’s Day,روزِ زن / حقوق زنان / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"45.4215, 75.6972"
rasatv3_014.mp4,۱۳۸۹/۰۸/۰۷,10/29/10,2010-10-29,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on a newly discovered proof of election fraud in the Iranian 2009 presidential election. ,این ویدیو به گزارش تلویزیون رسا پیرامون مدارک جدید از تقلب در انتخابات ریاست جمهوری ایران اختصاص داده شده است.,RASA TV / 2009 Elections  ,انتخابات ۱۳۸۸ / تلویزیون رسا,Mahmoud Ahmadinejad,محمود احمدی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_015.mp4,۱۳۹۰/۰۶/۱۲,9/3/11,2011-09-03,,,London (UK),لندن,United Kingdom,انگلستان,This video is a RASA TV interview with Reza Taghizadeh regarding the international concerns about Iran’s nuclear program.,این ویدیو به مصاحبه تلویزیون رسا با رضا تقی,RASA TV / Nuclear Program,برنامه هسته,Reza Taghizadeh,رضا تقی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"51.5074, 0.1278"
rasatv3_016.mp4,۱۳۸۹/۰۷/۲۱,10/13/10,2010-10-13,,,"New York
","نیویورک
",United States of America ,ایالات متحده آمریکا,This video is a RASA TV report on Ahmadinejad’s sixth visit to the annual meeting of United Nations. ,این ویدیو به گزارش تلویزیون رسا پیرامون شرکت کردن احمدی,RASA TV / United Nations,سازمان ملل متحد / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"40.7127, 74.0059"
rasatv3_017.mp4,۱۳۸۹/۰۱/۰۱,3/21/11,2011-03-21,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on an article titled “the Right to National Self-Determination”, which was written by Mostafa Tajzadeh, a political prisoner, while he was in prison. ",این ویدیو به گزارش تلویزیون رسا پیرامون مقاله,RASA TV / Right to National Self-Determination / Prisoner of Conscience,زندانی عقیدتی,Mostafa Tajzadeh,مصطفی تاجزاده,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_018.mp4,۱۳۸۹/۰۱/۰۲,3/22/11,2011-03-22,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on an article titled “the Right to National Self-Determination”, which was written by Mostafa Tajzadeh, a political prisoner, while he was in prison. ",این ویدیو به گزارش تلویزیون رسا پیرامون مقاله,RASA TV / Right to National Self-Determination / Prisoner of Conscience,زندانی عقیدتی,Mostafa Tajzadeh,مصطفی تاجزاده,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_019.mp4,۱۳۸۹/۰۱/۰۳,3/23/11,2011-03-23,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on an article titled “the Right to National Self-Determination”, which was written by Mostafa Tajzadeh, a political prisoner, while he was in prison. ",این ویدیو به گزارش تلویزیون رسا پیرامون مقاله,RASA TV / Right to National Self-Determination / Prisoner of Conscience,زندانی عقیدتی,Mostafa Tajzadeh,مصطفی تاجزاده,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_020.mp4,۱۳۹۰/۰۳/۱۰,5/31/11,2011-05-31,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on constant changes of ministers in Ahmadinejad’s cabinet.  ,این ویدیو به گزارش تلویزیون رسا پیرامون تغییر پی,RASA TV / Presidential Cabinet,کابینه دولت / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_021.mp4,۱۳۹۰/۰۶/۲۰,9/11/11,2011-09-11,,,Tehran (Iran),تهران,Iran,ایران,In this video RASA TV shows highlights of a video in which Hadi Ghabel discusses his health condition and the reason he had to be transferred from prison to the hospital. ,این ویدیو تلویزیون رسا به نمایش گوشه هایی,RASA TV / Prisoner of Conscience ,زندانی عقیدتی,Ahmad Ghabel,احمد قابل,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_022.mp4,۱۳۹۰/۰۳/۱۷,6/7/11,2011-06-07,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the political positions of Mir Hossein Mousavi and Mehdi Karroubi. ,این ویدیو به گزارش تلویزیون رسا پیرامون مواضع و دیدگاهای میر حسین موسوی و مهدی کروبی اختصاص داده شده است.,RASA TV / 2009 Elections,انتخابات ۱۳۸۸ / تلویزیون رسا,Mir-Hossein Mousavi / Mehdi Karroubi,مهدی کروبی / میر حسین موسوی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_023.mp4,۱۳۸۹/۱۲/۲۸,3/19/11,2011-03-19,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the Happy New Year message from Coordination Council of the Green Path of Hope.,این ویدیو به گزارش تلویزیون رسا پیرامون پیام نوروزی شورای هماهنگی,RASA TV / Green Movement,جنبش سبز / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_024.mp4,۱۳۹۰/۰۲/۱۲,5/2/11,2011-05-02,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the World Press Freedom Day and the situation of press freedom in Iran.,این ویدیو به گزارش تلویزیون رسا پیرامون روز جهانی,RASA TV / Press ,مطبوعات / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
