filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
khizposters2_001.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_002.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_003.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_004.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_005.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_006.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_007.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_008.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_009.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_010.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_011.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_012.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_013.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_014.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_015.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_016.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_017.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,Enqelab Square,میدان انقلاب,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.701077, 51.391528",Posters,پوستر
khizposters2_018.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
khizposters2_019.jpg,۱۳۸۸/۰۹/۱۶,12/07/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,This poster displays a call to protest at all the universities on the National Collegiate Day.,این پوستر دعوتی را به تظاهرات در تمام دانشگاه های ایران در روز ملی دانشجو نشان میدهد.,Invitation / Symbolic Resistance / Student Movement ,دعوتنامه / مقاومت نمادین / جنبش دانشجویی,,,Call to Protest on National Collegiate Day,دعوت به تظاهرات در روز دانشجو,still image,"35.689198, 51.388974",Posters,پوستر
