filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv2_011.mp4,۱۳۹۰/۰۵/۲۲,8/13/11,2011-08-13,,,,,Germany,آلمان,"This is a RASA TV interview with Soheil Aarabi, brother of Sohrab Aarabi who was killed during one of the Green Movement protests, regarding the writings of Sohrab. ",این ویدیو به مصاحبه تلویزیون رسا با سهیل اعرابی، برادر سهراب اعرابی، پیرامون نوشته های سهراب اختصاص دارد.,RASA TV,تلویزیون رسا,Soheil Aarabi / Sohrab Aarabi,سهیل اعرابی / سهراب اعرابی,RASA TV interview with Soheil Arabi,مصاحبه تلویزیون رسا با سهیل اعرابی ,moving image,Television programs / Interviews,"51.1657, 10.4515"
rasatv2_012.mp4,۱۳۸۹/۱۲/۲۰,3/11/11,2011-03-11,,,Geneva,ژنو ,Switzerland,سویس,"This is a RASA TV interview with Hassan Nayeb Hashem, a political activist, regarding the human rights council meeting in Geneva. ",این ویدیو به مصاحبه تلویزیون رسا با حسن نایب هاشم، فعال سیاسی، پیرامون جلسه شورای حقوق بشر در ژنو اختصاص داده شده است.,RASA TV,تلویزیون رسا,Hassan Nayeb Hashem,حسن نایب هاشم,RASA TV interview with Hassan Nayeb Hashem,مصاحبه تلویزیون رسا با حسن نایب هاشم,moving image,Television programs / Interviews,"46.2044, 6.1432"
rasatv2_013.mp4,۱۳۹۰/۰۸/۰۱,3/28/11,2011-03-28,,,,,United States of America,ایالت متحده آمریکا,"This is a RASA TV interview with Bijan Safsari, a journalist, regarding the steady emigration of Iranian elites and political activists.",این ویدیو به مصاحبه تلویزیون رسا با بیژن صف سری، روزنامه نگار، پیرامون  مهاجرت فعالان سیاسی از ایران اختصاص داده شده است.,RASA TV,تلویزیون رسا,Bijan Safsari,یبژن صف سری,RASA TV interview with Bijan Safsari,مصاحبه تلویزیون رسا با بیژن صف سری,moving image,Television programs / Interviews,"37.0902, 95.7129"
rasatv2_014.mp4,۱۳۹۰/۰۴/۰۲,6/23/11,2011-06-23,,,Kermanshah ,کرمانشاه,Iran,ایران,"This is a RASA TV interview with Mahmoud Amjad, a moderate and popular cleric, regarding his recent criticisms of the government. ",این ویدیو به مصاحبه تلویزیون رسا با محمود امجد، روحانی معتدل و مردمی، پیرامون انتقادات اخیر وی از دولت اختصاص دارد.,RASA TV,تلویزیون رسا,Mahmoud Amjad,محمود امجد,RASA TV interview with Mahmoud Amjad,مصاحبه تلویزیون رسا با محمود امجد,moving image,Television programs / Interviews,"34.3277, 47.0778"
rasatv2_015.mp4,۱۳۹۰/۰۴/۱۰,12/1/11,2011-12-01,,,,,Finland,فنلاند,"This is a RASA TV interview with Hossein Alizadeh Tabatabaei, an international relations expert, regarding the reactions to the attack on British embassy in Iran. ",این ویدیو به مصاحبه تلویزیون رسا با حسین علیزاده طباطبائی، کارشناس روابط بین الملل پیرامون برخورد ها به حمله به سفارت انگلستان در ایران اختصاص دارد.,RASA TV,تلویزیون رسا,Hossein Alizadeh Tabatabaei,حسین علیزاده طباطبایی,RASA TV interview with Hossein Alizadeh Tabatabaei,مصاحبه تلویزیون رسا با حسین علیزاده طباطبایی,moving image,Television programs / Interviews,"61.9241, 25.7482"
rasatv2_016.mp4,۱۳۹۰/۰۷/۰۴,9/26/11,2011-09-26,,,Geneva,ژنو ,Switzerland,سویس,This is a RASA TV interview with Ali Mohammad Memari regarding the violation of human rights in Yemen.,این ویدیو به مصاحبه تلویزیون رسا با علی محمد معماری پیرامون تخلفات حقوق بشر در یمن اختصاص دارد.,RASA TV,تلویزیون رسا,Ali Mohammad Memari,علی محمد معماری,RASA TV interview with Ali Mohammad Memari,مصاحبه تلویزیون رسا با علی,moving image,Television programs / Interviews,"46.2044, 6.1432"
rasatv2_017.mp4,۱۳۹۰/۰۳/۱۳,3/6/11,2011-03-06,,,Brussels,بروکسل,Belgium,بلژیک,"This is a RASA TV interview with Hanif Mazrui, speaker of the Reformist Youth Coordination Council, regarding this organization asking everyone to light a candle outside of the Hosseinieh Ershad on the 3rd day after the death of Haleh Sahabi.",این ویدیو به مصاحبه تلویزیون رسا با حنیف مزروعی، سخنگوی شورای هماهنگی پیرامون خواستن این سازمان از مردم برای روشن کردن شمع بیرون حسینیه ارشاد در روز سوم پس از مرگ هاله سحابی اختصاص دارد.,RASA TV,تلویزیون رسا,Hanif Mazrui / Haleh Sahabi,حنیف مزروعی / هاله سحابی,RASA TV interview with Hanif Mazrui,مصاحبه تلویزیون رسا با حنیف مزروعی,moving image,Television programs / Interviews,"50.8503, 4.3517"
rasatv2_018.mp4,۱۳۹۰/۰۶/۱۳,9/4/11,2011-09-04,,,Tehran,تهران,Iran,ایران,This is a RASA TV interview with Davood Dashtbani regarding the suppression of Azarbaijanis who were protesting against the Urmia lake drying up. ,این ویدیو به مصاحبه تلویزیون رسا با داود دشتبانی پیرامون سرکوب مردم آذربایجان که به خشک شدن دریاچه ارومیه اعتراض داشتند، اختصاص داده شده است.,RASA TV,تلویزیون رسا,Davood Dashtbani,داوود دشتبانی,RASA TV interview with Davood Dashtbani,مصاحبه تلویزیون رسا با داود دشتبانی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_019.mp4,۱۳۸۹/۱۲/۱۹,3/10/11,2011-03-10,,,Stockholm,استکهلم,Sweden,سوئد,This is a RASA TV interview with Sajad Veis-Moradi regarding the Iranian students protesting against the house arrest of the Green Movement leaders in front of the European office of the United Nations.,این ویدیو به مصاحبه تلویزیون رسا با سجاد ویس مرادی پیرامون تظاهرات دانشجویانِ ایرانی روبروی دفتر اروپایی سازمان ملل علیه دستگیری خانگی رهبران جنبش سبز اختصاص دارد.,RASA TV,تلویزیون رسا,Sajjad Veis-Moradi,سجاد ویس مرادی,RASA TV interview with Sajad Vis Moradi,مصاحبه تلویزیون رسا با سجاد ویس,moving image,Television programs / Interviews,"59.3293, 18.0686"
rasatv2_020.mp4,۱۳۹۰/۰۶/۳۱,9/22/11,2011-09-22,,,Geneva,ژنو ,Switzerland,سویس,This is a RASA TV interview with Rahim Mohammadi regarding the violation of human rights in Kurdistan. ,این ویدیو به مصاحبه تلویزیون رسا با رحیم محمدی پیرامون نقض حقوق بشر در کردستان اختصاص داده شده است.,RASA TV,تلویزیون رسا,Rahim Mohammadi,رحیم محمدی,RASA TV interview with Rahim Mahammadi,مصاحبه تلویزیون رسا با رحیم محمدی,moving image,Television programs / Interviews,"46.2044, 6.1432"
rasatv2_021.mp4,۱۳۹۰/۰۵/۲۷,8/18/11,2011-08-18,,,Ottawa,اُتاوا,Canada,کانادا,"This is a RASA TV interview with Shahram Rafizadeh, a journalist, regarding Rafsanjani’s criticisms of the government.  ",این ویدیو به مصاحبه تلویزیون رسا با شهرام رفیع زاده، روزنامه نگار، پیرامون انتقادات رفسنجانی از دولت اختصاص دارد.,RASA TV,تلویزیون رسا,Shahram Rafizadeh / Akbar Hashemi Rafsanjani,شهرام رفیع زاده / اکبر هاشمی رفسنجانی,RASA TV interview with Shahram Rafizadeh ,مصاحبه تلویزیون رسا با شهرام رفیع زاده,moving image,Television programs / Interviews,"45.4215, 75.6972"
rasatv2_022.mp4,۱۳۹۰/۰۳/۱۲,6/2/11,2011-06-02,,,Qom,,Iran,ایران,"This is a RASA TV interview with Hamed Montazeri, grandson of Ayatollah Montazeri, regarding the scuffling of Haleh Sahabi with the security forces present at her father’s funeral. ",این ویدیو به مصاحبه تلویزیون رسا با حامد منتظری، نوه آیت الله منتظری پیرامون درگیری هاله سحابی با مامورین امنیتی در در مراسم ترحیم پدرش، عزت الله سحابی، اختصاص دارد.,RASA TV,تلویزیون رسا,Hamed Montazeri / Haleh Sahabi / Ezzatollah Sahabi,حامد منتظری / هاله سحابی / عزت الله سحابی,RASA TV interview with Hamed Montazeri ,مصاحبه تلویزیون رسا با حامد منتظری,moving image,Television programs / Interviews,"34.6399, 50.8759"
rasatv2_023.mp4,۱۳۹۰/۰۷/۰۳,9/25/11,2011-09-25,,,London ,لندن,United Kingdom,انگلستان,"This is a RASA TV interview with Roohi Shafiei, a human rights activist, regarding the establishment of ICAVI, International Coalition Against Violence in Iran, after the 2009 presidential election.  ",این ویدیو به مصاحبه تلویزیون رسا با روحی شفیعی، فعال حقوق بشر، پیرامون  تأسیس سازمانی به نام ایی. کا. وی به نام ائتلاف بین المللی علیه خشونت در ایران بعد از انتخابات ریاست جمهوری سال ۱۳۸۸، اختصاص داده شده است.  ,RASA TV,تلویزیون رسا,Roohi Shafiei,روحی شفیعی,RASA TV interview with Roohi Shafie,مصاحبه تلویزیون رسا با روحی شفیعی,moving image,Television programs / Interviews,"51.5072, 0.1275"
rasatv2_024.mp4,۱۳۹۰/۰۸/۱۹,11/10/11,2011-11-10,Chabahar Maritime and Marine University,دانشگاه دریانوردی و علوم دریایی چابهار,Chabahar,چابهار,Iran,ایران,This is a RASA TV interview with Saeid Peivandi regarding a university dorm in Chabahar catching on fire which led to the death of three students. ,این ویدیو به مصاحبه تلویزیون رسا با سعید پیوندی پیرامون آتش سوزی در یکی از خوابگاه های دانشجویی در چابهار که منجر به مرگ سه دانشجو شد اختصاص دارد.,RASA TV,تلویزیون رسا,Saeid Peivandi,سعید پیوندی,RASA TV interview with Saeid Peivandi,مصاحبه تلویزیون رسا با سعید پیوندی,moving image,Television programs / Interviews,"25.310435, 60.62717"
rasatv2_025.mp4,۱۳۹۰/۰۲/۱۱,5/1/11,2011-05-01,,,Amsterdam,آمستردام,Netherland,هلند,"This is a RASA TV interview with Sohrab Razzaghi, a prominent human rigths defender and an expert on Iranian civil society, regarding the role street protests can play in civil rights movements in Iran.  ",این ویدیو به مصاحبه تلویزیون رسا با سهراب رزاقی، مدافع حقوق بشر و کارشناس مسائل مدنی و اجتماعی ایران، پیرامون نقش تظاهرات در مبارزات مدنی در ایران اختصاص داده شده است.,RASA TV,تلویزیون رسا,Sohrab Razzaghi,سهراب رزاقی,RASA TV interview with Sohrab Razzaghi,مصاحبه تلویزیون رسا با سهراب رزاقی,moving image,Television programs / Interviews,"52.3702, 4.8952"
rasatv2_026.mp4,۱۳۹۰/۰۹/۰۶,11/27/11,2011-11-27,,,Amsterdam,آمستردام,Netherland,هلند,"This is a RASA TV interview with Sohrab Razzaghi, a prominent human rigths defender and an expert on Iranian civil society, regarding the revision of 555 subjects in Humanities and Humanities related majors. ",این ویدیو به مصاحبه تلویزیون رسا با سهراب رزاقی، مدافع حقوق بشر و کارشناس مسائل مدنی و اجتماعی ایران، پیرامون بازنگری ۵۵۵ درس از میان درسهای علوم انسانی و رشته های مرتبط اختصاص دارد.,RASA TV,تلویزیون رسا,Sohrab Razzaghi,سهراب رزاقی,RASA TV interview with Sohrab Razzaghi,مصاحبه تلویزیون رسا با سهراب رزاقی,moving image,Television programs / Interviews,"52.3702, 4.8952"
rasatv2_027.mp4,۱۳۹۰/۰۳/۱۳,6/3/11,2011-06-03,,,Tehran,تهران,Iran,ایران,"This is a RASA TV interview with an anonymous eyewitness who was present at the funeral of Haleh Sahabi and her father, Ezzatollah Sahabi. ",این ویدیو به مصاحبه تلویزیون رسا با یک شاهد عینی که در مراسم خاکسپاری هاله سحابی و پدرش، عزت الله سحابی، حضور داشت اختصاص دارد.,RASA TV,تلویزیون رسا,Haleh Sahabi / Ezzatollah Sahabi,هاله سحابی / عزت الله سحابی,RASA TV interview with an anonymous eyewitness,مصاحبه تلویزیون رسا با یک شاهد عینی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_028.mp4,۱۳۹۰/۰۸/۲۲,11/13/11,2011-11-13,,,Ottawa,اُتاوا,Canada,کانادا,"This is a RASA TV interview with Shahram Rafizadeh, a journalist, regarding a blast at an army base outside Tehran. ",این ویدیو به مصاحبه تلویزیون رسا با شهرام رفیع زاده، روزنامه نگار، پیرامون انفجار شدید پادگان سپاه در اطراف تهران اختصاص داده شده است.,RASA TV,تلویزیون رسا,Shahram Rafizadeh,شهرام رفیع زاده,RASA TV interview with Shahram Rafizadeh ,مصاحبه تلویزیون رسا با شهرام رفیع زاده,moving image,Television programs / Interviews,"45.4215, 75.6972"
rasatv2_029.mp4,۱۳۸۰/۱۲/۱۶,5/7/11,2011-05-07,,,Ottawa,اُتاوا,Canada,کانادا,"This is a RASA TV interview with Shahram Rafizadeh, a journalist, Abdul-Karim Mousavi Ardebili’s criticisms of the government. Mousavi Ardebili is an Iranian politician as well as a twelver shi’a marja. ",این ویدیو به مصاحبه تلویزیون رسا با شهرام رفیع زاده، روزنامه نگار، پیرامون انتقادات عبد الکریم موسوی اردبیلی از دولت و مسئولین اختصاص داده شده است. موسوی اردبیلی از سیاستمدار و مرجع تقلید ایرانیان شیعه به شمار میرود.,RASA TV,تلویزیون رسا,Shahram Rafizadeh / Abdul-Karim Mousavi Ardebili,شهرام رفیع زاده / عبد الکریم موسوی اردبیلی,RASA TV interview with Shahram Rafizadeh ,مصاحبه تلویزیون رسا با شهرام رفیع زاده,moving image,Television programs / Interviews,"45.4215, 75.6972"
rasatv2_030.mp4,۱۳۸۹/۰۶/۱۴,9/5/11,2011-09-05,,,Qom,,Iran,ایران,"This is a RASA TV interview with Asadollah Bayat-Zanjani, a twelver shi’a marja, regarding the Ramadan. ",این ویدیو به مصاحبه تلویزیون رسا با اسدالله بیات زنجانی، یکی از مراجع تقلید شیعه پیرامون رمضان اختصاص دارد.,RASA TV,تلویزیون رسا,Asadollah Bayat-Zanjani,اسد الله بیات زنجانی,RASA TV interview with Asadollah Bayat-Zanjani,مصاحبه تلویزیون رسا با اسدالله بیات زنجانی,moving image,Television programs / Interviews,"34.6399, 50.8759"
rasatv2_031.mp4,۱۳۹۰/۰۹/۲۴,12/15/11,2011-12-15,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Sadigheh Rahat Talab, mother of Alireza Rajaei, regarding an increasing pressure on the families of the political prisoners in Iran. ",این ویدیو به مصاحبه تلویزیون رسا با صدیقه راحت طلب، مادر علیرضا رجائی، پیرامون فشار مضاعف بروی خانواده های زندانیان عقیدتی اختصاص دارد.,RASA TV,تلویزیون رسا,Sadigheh Rahat-talab / Alireza Rajaei,صدیقه راحت طلب / علیرضا رجائی,RASA TV interview with Sadighe Rahat Talab ,مصاحبه تلویزیون رسا با صدیقه راحت طلب,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_032.mp4,۱۳۹۰/۰۶/۲۹,9/20/11,2011-09-20,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Sadigheh Vasmaghi, a former member of the city council of Tehran, regarding the complaints of 12 members of the parliament regarding President Mahmoud Ahmadinejad. ",این ویدیو به مصاحبه تلویزیون رسا با صدیقه وسمقی، نماینده سابق شورای شهر تهران، پیرامون شکایت ۱۲ عضو مجلس از محمود احمدینژاد اختصاص دارد.,RASA TV,تلویزیون رسا,Sadigheh Vasmaghi / Mahmoud Ahmadinejad,صدیقه وسمقی / محمود احمدینژاد,RASA TV interview with Sadighe Vasmaghi,مصاحبه تلویزیون رسا با صدیقه وسمقی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_033.mp4,۱۳۹۰/۰۴/۱۱,7/2/11,2011-07-02,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Sadigheh Vasmaghi, a former member of the city council of Tehran, regarding the security forces raiding her office and taking away her personal belongings.  ",این ویدیو به مصاحبه تلویزیون رسا با صدیقه وسمقی، نماینده سابق شورای شهر تهران، پیرامون حملهٔ ماموران امنیتی به دفتر ایشان، اختصاص داده شده است.,RASA TV,تلویزیون رسا,Sadigheh Vasmaghi,صدیقه وسمقی,RASA TV interview with Sadighe Vasmaghi,مصاحبه تلویزیون رسا با صدیقه وسمقی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_034.mp4,۱۳۹۰/۰۶/۰۷,8/29/11,2011-08-29,,,Prague,پراگ,Czech Republic,جمهوری چک,"This is a RASA TV interview with Abbas Javadi, journalist, regarding the suppression of Azarbaijanis who were protesting against the Urmia lake dying up. ",این ویدیو به مصاحبه تلویزیون رسا با عباس جوادی پیرامون سرکوب مردم آذربایجان که به خشک شدن دریاچه ارومیه اعتراض داشتند، اختصاص داده شده است.,RASA TV,تلویزیون رسا,Abbas Javadi,عباس جوادی,RASA TV interview with Abbas javadi,مصاحبه تلویزیون رسا با عباس جوادی,moving image,Television programs / Interviews,"50.0755, 14.4378"
rasatv2_035.mp4,۱۳۹۰/۰۶/۱۹,9/10/11,2011-09-10,,,Prague,پراگ,Czech Republic,جمهوری چک,"This is a RASA TV interview with Abbas Javadi, journalist, regarding an attack by the security forces on supporters of Tractor Sazi, a Tabriz-based soccer team. ",این ویدیو به مصاحبه تلویزیون رسا با عباس جوادی، روزنامه نگار، پیرامون حملهٔ نیروهای امنیتی به طرفداران تیم فوتبال تراکتورسازی اختصاص دارد.,RASA TV,تلویزیون رسا,Abbas Javadi,عباس جوادی,RASA TV interview with Abbas javadi,مصاحبه تلویزیون رسا با عباس جوادی,moving image,Television programs / Interviews,"50.0755, 14.4378"
rasatv2_036.mp4,۱۳۹۰/۰۷/۲۳,10/15/11,2011-10-15,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Abdol Karim Lahiji regarding the report of Ahmed Shahid, the special rapporteur on the situation of human rights in Iran, of violation of human rights in Iran.",این ویدیو به مصاحبه تلویزیون رسا با عبدالکریم لاهیجی پیرامون گزارش احمد شهید، گزارشگر ویژه حقوق بشر، درباره تخلفات حقوق بشر در ایران اختصاص دارد.,RASA TV,تلویزیون رسا,Abdul-Karim Lahiji / Ahmad Shahid,عبد الکریم لاهیجی / احمد شهید,RASA TV interview with Abdol Karim Lahiji,مصاحبه تلویزیون رسا با عبدالکریم لاهیجی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_037.mp4,۱۳۹۰/۰۵/۰۵,7/27/11,2011-07-27,,,Tehran ,تهران,Iran,ایران,This is a RASA TV interview with Ali Sadrzadeh regarding Iran’s ambassador to Saudi Arabia stating that Iran does not take any responsibilities for what the Imams may say or have said in the past during Friday prayers.  ,این ویدیو به مصاحبه تلویزیون رسا با علی صدر زاده پیرامون سخنان سفیر ایران در عربستان درباره عمل نکردن به آنچه امامان جمعه گفته اند اختصاص دارد.,RASA TV,تلویزیون رسا,Ali Sadrzadeh,علی صدر زاده,RASA TV interview with Ali Sadrzadeh ,مصاحبه تلویزیون رسا با علی صدرزاده,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_038.mp4,۱۳۹۰/۰۵/۳۱,8/22/11,2011-08-22,,,Tripoli,طرابلس,Libya,لیبی,"This is a RASA TV interview with Ali Sadrzadeh regarding the protests in Libya reaching the capital of this country, Tripoli. ",این ویدیو به مصاحبه تلویزیون رسا با علی صدر زاده پیرامون تظاهرات های لیبی که در حال رسیدن به طرابلس پایتخت این کشور هستند اختصاص دارد.,RASA TV,تلویزیون رسا,Ali Sadrzadeh,علی صدر زاده,RASA TV interview with Ali Sadrzadeh ,مصاحبه تلویزیون رسا با علی صدرزاده,moving image,Television programs / Interviews,"32.887209, 13.191338"
rasatv2_039.mp4,۱۳۹۰/۰۶/۰۲,8/24/11,2011-08-24,,,Ottawa,اُتاوا,Canada,کانادا,This is a RASA TV interview with Ali Tabatabai regarding the security forced raiding Tajzadeh’s Ramadan Iftar dinner.,این ویدیو به مصاحبه تلویزیون رسا با علی طباطبایی پیرامون حملهٔ نیروهای امنیتی به مراسم افطار تاجزاده اختصاص داده شده است.,RASA TV,تلویزیون رسا,Ali Tabatabaei,علی طباطبایی,RASA TV interview with Ali Tabatabai,مصاحبه تلویزیون رسا با علی طباطبایی,moving image,Television programs / Interviews,"45.4215, 75.6972"
rasatv2_040.mp4,۱۳۹۰/۰۸/۰۹,10/31/11,2011-10-31,,,Brussels,بروکسل,Belgium,بلژیک,"This is a RASA TV interview with Ali Mazrouei, former member of the parliament, regarding the case of $3 billion of bank embezzlement. ",این ویدیو به مصاحبه تلویزیون رسا با علی مزروعی، نماینده سابق مجلس، پیرامون پرونده اختلاس ۳ میلیارد تومانی بانکها اختصاص داده شده است.,RASA TV,تلویزیون رسا,Ali Mazrouei,علی مزروعی,RASA TV interview with Ali Mazrooie,مصاحبه تلویزیون رسا با علی مزروعی,moving image,Television programs / Interviews,"50.8503, 4.3517"
