filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv2_001.mp4,۱۳۹۰/۰۳/۳۰,6/20/11,2011-06-20,,,Malekan County (East Azerbaijan Province),شهرستان ملکان,Iran,ایران,"This is a RASA TV interview with Ahmad Maleki, father of a political prisoner, Hossein Maleki, regarding the health condition of Maleki in prison. ",این ویدیو به مصاحبه تلویزیون رسا با احمد ملکی,RASA TV,تلویزیون رسا,Hossein Maleki / Ahmad Maleki,حسین ملکی / احمد ملکی,RASA TV interview with Ahmad Maleki,مصاحبه تلویزیون رسا با احمد ملکی,moving image,Television programs / Interviews,"37.9036, 46.2682"
rasatv2_002.mp4,۱۳۹۰/۰۹/۲۱,12/12/11,2011-12-12,,,Paris,پاریس,France,فرانسه,"This is a RASA TV interview with Arash Bahmani, a journalist, regarding the possibility of more student protests to occur in Iran. ",این ویدیو به مصاحبه تلویزیون رسا با آرش بهمنی، روزنامه نگار، پیرامون احتمال برگزاری مجدد تظاهرات دانشجویی در ایران اختصاص داده شده است.,RASA TV / Student Movement,تلویزیون رسا / جنبش دانشجویی,Arash Bahmani,آرش بهمنی,RASA TV interview with Arash Bahmani,مصاحبه تلویزیون رسا با آرش بهمنی,moving image,Television programs / Interviews,"48.8567, 2.3508"
rasatv2_003.mp4,۱۳۹۰/۰۸/۰۳,10/25/11,2011-10-25,,,Van ,وان,Turkey,ترکیه,"This is a RASA TV interview with Arash Hoesseini Pajohe, a reporter, regarding the Iranian refugees’ poor condition after the earthquake in the city of Van. ",این ویدیو به مصاحبه تلویزیون رسا با آرش حسینی  پژوه، خبرنگار، پیرامون وضعیت بد پناهندگان ایرانی پس از زلزله در شهر وان اختصاص دارد.,RASA TV,تلویزیون رسا,Arash Hosseini Pajouh,آرش حسینی پژوه,RASA TV interview with Arash Hosseini Pajohe,مصاحبه تلویزیون رسا با آرش حسینی پژوه,moving image,Television programs / Interviews,"38.5012, 43.3730"
rasatv2_004.mp4,۱۳۹۰/۰۷/۰۶,9/28/11,2011-09-28,,,Geneva,ژنو ,Switzerland,سویس,"This is a RASA TV interview with Aso Hassanzadeh, member of the Democratic Party of Iranian Kurdistan, regarding the violation of human rights in Kurdistan. ","این ویدیو به مصاحبه تلویزیون رسا با اسو حسن زاده, عضو حزب دموکرات کردستان، پیرامون نقض حقوق بشر در کردستان اختصاص داده شده است.",RASA TV,تلویزیون رسا,Aso Hassanzadeh,آسو حسن زاده ,RASA TV interview with Aso Hassanzadeh,مصاحبه تلویزیون رسا با اسو حسن زاده,moving image,Television programs / Interviews,"46.2044, 6.1432"
rasatv2_005.mp4,۱۳۹۰/۰۸/۱۵,10/27/11,2011-10-27,,,Geneva,ژنو ,Switzerland,سویس,"This is a RASA TV interview with Ahmed Shaheed, the special rapporteur on the situation of human rights in Iran, regarding his latest report of the violation of human rights in Iran. ",این ویدیو به مصاحبه تلویزیون رسا با احمد شهید، گزارشگر ویژه حقوق بشر در ایران، پیرامون گزارش وی درباره تخلفات حقوق بشر در ایران اختصاص دارد.,RASA TV,تلویزیون رسا,Ahmad Shahid,احمد شهید,RASA TV interview with Ahmed Shahid,مصاحبه تلویزیون رسا با احمد شهید,moving image,Television programs / Interviews,"46.2044, 6.1432"
rasatv2_006.mp4,۱۳۹۰/۰۳/۱۱,6/1/11,2011-06-01,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Ahmad Sadr Haj Seyed javadi, one of the founders of the Freedom Movement of Iran, regarding the death of Haleh Sahabi at the funeral of her father, Ezzatollah Sahabi. ",این ویدیو به مصاحبه تلویزیون رسا با احمد صدر حاج سید جوادی، یکی از بنیان گزاران نهضت آزادی ایران، پیرامون مرگ هاله سحابی در مراسم ختم پدرش عزت الله سحابی اختصاص دارد.,RASA TV,تلویزیون رسا,Ahmad Sayyed Javadi / Haleh Sahabi / Ezzatollah Sahabi,احمد سید جوادی / هاله سحابی / عزت الله سحابی,RASA TV interview with Ahmad Sadr Haj Seyed javadi,مصاحبه تلویزیون رسا با احمد صدر حاج سید جوادی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_007.mp4,۱۳۹۰/۰۲/۱۰,4/30/11,2011-04-30,,,Tehran ,تهران,Iran,ایران,This is a RASA TV interview with Asadollah Sadeghi regarding the possible effects of the elimination of all subsidies on the Iranian workers.,این ویدیو به مصاحبه تلویزیون رسا با اسدلله صادقی پیرامون تاثیرات ممکن حذف یارانه بر کارگران ایرانی اختصاص دارد.,RASA TV,تلویزیون رسا,Asadollah Sadeghi,اسد الله صادقی,RASA TV interview with Asadollah Sadegh,مصاحبه تلویزیون رسا با اسدالله صادقی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_008.mp4,۱۳۸۹/۰۹/۲۱,12/12/10,2010-12-12,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV special program dedicated to Hussein-Ali Montazeri. Montazeri was a Shia Islamic democracy advocate and one of the leaders of the Iranian Revolution in 1979. ,این ویدیو به ویژه برنامهٔ تلویزیون رسا برای حسینعلی منتظری اختصاص داده شده است. حسینعلی منتظری آیت الله شیعه مدافع دموکراسی و از پیشرویان اتقلاب ۱۳۵۷ میباشد.,RASA TV,تلویزیون رسا,Hussein-Ali Montazeri,حسینعلی منتظری,RASA TV special program for Hussein-Ali Montazeri,ویژه برنامهٔ تلویزیون رسا برای حسینعلی منتظری,moving image,Television programs,"35.69439, 51.42151"
rasatv2_009.mp4,۱۳۹۰/۰۵/۰۹,7/31/11,2011-07-31,,,Tehran ,تهران,Iran,ایران,"This is a RASA TV interview with Akbar Ganji, a political analyst, regarding Yousef Saanei criticizing the house arrest of the Green Movement leaders. ",این ویدیو به مصاحبه تلویزیون رسا با اکبر گنجی، تحلیلگر سیاسی، پیرامون انتقاد یوسف صانعی از حصر خانگی رهبران جنبش سبز اختصاص داده شده است.,RASA TV,تلویزیون رسا,Akbar Ganji / Yousef Saanei,اکبر گنجی / یوسف صانعی,RASA TV interview with Akbar Ganji,مصاحبه تلویزیون رسا با اکبر گنجی,moving image,Television programs / Interviews,"35.69439, 51.42151"
rasatv2_010.mp4,۱۳۹۰/۰۸/۱۷,11/8/11,2011-11-08,,,Paris ,پاریس,France,فرانسه,"This is a RASA TV interview with Babak Amir Khosravi, a political activist, regarding a statement signed by 120 Iranian political activists and writers. In this statement, suppression of protests and violation against the citizens are condemned. ",این ویدیو به مصاحبه تلویزیون رسا با بابک امیر خسروی، فعال سیاسی، پیرامون بیانیه ۱۲۰ تن از نویسندگان و فعالان سیاسی اختصاص دارد.این بیانیه سرکوب تظاهرات ها و تخلفات علیه شهروندان را محکوم میکند.,RASA TV,تلویزیون رسا,Babak Amir Khosravi,بابک امیر خسروی,RASA TV interview with Babak Amir Khosravi,مصاحبه تلویزیون رسا با بابک امیرخسروی,moving image,Television programs / Interviews,"48.8567, 2.3508"
