filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords / Chants / Slogans (English),Keywords / Chants / Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),Genre (Farsi),"Lat, Lon"
khiz0011.mp4,۱۳۸۸/۰۸/۱۳,11/4/2010,2010-11-04,,,Tehran,تهران,Iran,ایران,"This video shows Iranian citizen protesting in Tehran, and chanting slogans such as “Khamenei is a murderer; his leadership is illegitimate,” and “Mahmoud the traitor, we wish you would become vagrant, you destroyed our country, you killed the youth; you slaughtered thousands, down with you, down with you.”","این ویدیو شهروندان ایرانی‌ در حال تظاهرات در تهران و سر دادن شعارهای همچون، ""خامنه‌ای قاتله هدایتش باطله"" و ""محمود خائن آواره گردی، خاک وطن را ویرانه کردی، کشتی جوانان وطن، الله اکبر، کردی هزاران در کفن، الله اکبر، مرگ بر تو، مرگ بر تو"" را نشان میدهد.",Protest,تظاهرات,Ali Khamenei ,علی خامنه ای,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0012.mp4,۱۳۸۸/۰۸/۱۳,11/4/2010,2010-11-04,,,Tehran,تهران,Iran,ایران,This video shows Iranian citizen protesting and chanting slogans against the government such as “The blood that runs in our veins is a gift to our leader.”,"این ویدیو شهروندان ایرانی‌ در حال تظاهرات در تهران و سر دادن شعارهای مانند ""خونی که در داگ ماست، هدیه به رهبر ماست.""",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0013.mp4,۱۳۸۸/۰۹/۲۴,1/14/2010,2010-01-14,,,,,Belgium,بلژیک,"This video shows Iranian futsal fans chanting slogans such “Khamenei is a murderer; his leadership is illegitimate,” and “This year is the year of blood. Dictator is down,” during a futsal game in Belgium.","این ویدیو طرفداران ایرانی‌ فوتسال در حال سر دادن شعارهای همچون ""خامنه‌ای قاتله، هدایتش باطله"" و ""امسال سال خونه، دیکتاتور سرنگونه"" در طول یک بازی فوتسال در بلژیک را نشان میدهد.",Symbolic Resistance / Sport / Global Support for Iran,حمایت جهانی برای ایران / ورزش / حمایت جهانی برای ایران,Ali Khamenei ,علی خامنه ای,Chanting Slogans During a Futsal Game in Belgium,شعار سر دادن در طول بازی فوتسال,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"50.503887, 4.469935"
khiz0014.mp4,۱۳۸۸/۰۹/۱۶,12/7/2009,2009-12-07,Sharif University of Technology,دانشگاه صنعتی‌ شریف,Tehran,تهران,Iran,ایران,"This video shows Iranian students protesting at Sharif University of Technology and chanting “Riot Police, go wash Ahmadinejad.”","این ویدیو دانشجویان ایرانی‌ در حال تظاهرات در دانشگاه صنعتی‌ شریف و سر دادن شعار ""پلیس ضد شورش، احمدی‌ رو بشورش"" را نشان میدهد.",Student Movement ,جنبش دانشجویی ,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.703637, 51.351593"
khiz0015.mp4,۱۳۸۹/۰۹/۱۶,12/7/2009,2009-12-07,Simon Fraser University ,دانشگاه سایمون فریزر,Vancouver,ونکوور,Canada,کانادا,This video shows photos of a protest in Vancouver in support of the Green Movement.,در ویدیو عکسهایی از تظاهرات در ونکوور در حمایت از جنبش سبز را نشان میدهد.,Global Support for Iran,حمایت جهانی برای ایران,,,Protest in Vancouver,تظاهرات در ونکوور,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"49.284684, -123.112047"
khiz0016.mp4,۱۳۸۸/۰۹/۱۶,12/7/2009,2009-12-07,,,Tehran,تهران,Iran,ایران,Video displays a Basij officer throw a protesting student down from second floor.,ویدیو مامور بسیج را در حال پرت کردن دانشجوی تظاهرکننده ای از طبقه دوم به پایین نشان میدهد.,Student Movement / Police Brutality / Basij,جنبش دانشجویی / درندگی پلیس / بسیج,,,Protester Falling off the Second Floor,افتادن یکی‌ از تظاهر کنندگان از طبقه دوم,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0017.mp4,۱۳۸۸/۰۹/۱۷,12/8/2009,2009-12-08,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,"This video shows Iranian students protesting at the University of Tehran. While the students are being attacked by the Basiji militia, they chant slogans “Basiji has gone wild,” and “Allahu Akbar (God is [the] Greatest).”","این ویدیو تظاهرات دانشجویان در دانشگاه تهران را نشان میدهد. در حالیکه دانشجویان مورد حملهٔ بسیجیان بودند، شعارهای ""بسیجی‌ وحشی شده"" و ""الله و اکبر"" را سر می‌دادند.",Basij / Riot Police / Police Brutality,بسیج / پلیس ضدّ شورش / درندگی پلیس,,,Protests at University of Tehran,تظاهرات در دانشگاه تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.705808, 51.402091"
khiz0018.mp4,۱۳۸۸/۰۹/۱۷,12/8/2009,2009-12-08,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,"This video shows Iranian students starting fire at a university to decrease the effect of tear gas, which was shot by the Basiji militia.",این ویدیو روشن کردن آتش توسط دانشجویان ایرانی‌ در یک دانشگاه برای کمتر کردن اثر گاز اشک‌آور پرت شده توسط نیروهای بسیجی‌ را نشان میدهد.,Tear Gas / Basij / Protest ,گاز اشک‌آور / بسیج / تظاهرات,,,Starting Fire at University of Tehran,روشن کردن آتش در دانشگاه تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.705808, 51.402091"
khiz0019.mp4,۱۳۸۸/۰۹/۱۷,12/8/2009,2009-12-08,University of Tehran,دانشگاه تهران,Tehran,تهران,Iran,ایران,"This video shows Iranian students protesting at the University of Tehran, and chanting slogans against the government such as “Allahu Akbar (God is [the] Greatest).”","این ویدیو تظاهرات دانشجویان ایرانی‌ در دانشگاه تهران و سر دادن شعارهایی همچون ""الله اکبر"" را نشان میدهد.",Student Movement ,جنبش دانشجویی ,,,Protests at University of Tehran,تظاهرات در دانشگاه تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.705808, 51.402091"
khiz0021.mp4,۱۳۸۹/۰۳/۲۰,6/10/2010,2010-06-10,,,Tehran,تهران,Iran,ایران,Iranians throughout Tehran and on other cities started nightly rooftop protest chants of “Allahu Akbar (God is [the] Greatest)” to show their support of the Green Movement.,"شهروندان ایرانی‌ در تهران و شهرهای دیگه شروع به سر دادن شعار ""الله اکبر"" از روی پشت بام خانه‌هایشان در طول شب کردند تا حمایت خود از جنبش سبز را نشان دهند.",Allahu Akbar / Green Movement ,الله اکبر / جنبش سبز,,,Rooftop Protest Chants,شعارهای تظاهراتی از روی پشت بام,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0022.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,,,Tehran,تهران,Iran,ایران,"This video shows Iranian protesters chanting slogans such as “Down with the dictator” and “Ya Hossein, Mir Hossein.”","این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن شعار ""مرگ بر دیکتاتور"" و ""یا حسین میر حسین"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0023.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,,,Tehran,تهران,Iran,ایران,This video shows Iranian protesters chanting “political prisoners must be released.”,"این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن شعار ""زندانی سیاسی آزاد باید گردد"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0024.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,Tehran (Sadeghiyeh) Metro Station,مترو تهران ایستگاه صادقیه,Tehran,تهران,Iran,ایران,Video displays protestors chanting “referendum is what people want.”,"ویدیو تظاهرکنندگان را در حال سر دادن ""رفراندوم رفراندوم این است شعار مردم"" نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.717574, 51.330961"
khiz0025.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,Sadeghiyeh,صادقیه,Tehran,تهران,Iran,ایران,This video shows Iranian protesters chanting “down with the dictator.”,"این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن ""شعار مرگ بر دیکتاتور"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.722547, 51.341773"
