filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
video3_001.mp4,۱۳۸۸,2009,2009,Jamaran,جماران,Tehran,تهران,Iran,ایران,Video displays the event at which Mohammad Khatami gave a speech on the day of Ashura.,ویدیو رویدادی که در آن محمد خاتمی در روز عاشورا سخنرانی کرد را نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohammad Khatami ,محمد خاتمی,Speech by Khatami on The Day of Ashura,سخنرانی خاتمی در روزعاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
video3_002.mp4,۱۳۸۸,2009,2009,Jamaran,جماران,Tehran,تهران,Iran,ایران,Video displays the event at which Mohammad Khatami gave a speech on the day of Ashura.,ویدیو رویدادی که در آن محمد خاتمی در روز عاشورا سخنرانی کرد را نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohammad Khatami ,محمد خاتمی,Speech by Khatami on The Day of Ashura,سخنرانی خاتمی در روزعاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
video3_003.mp4,۱۳۸۸,2009,2009,Jamaran,جماران,Tehran,تهران,Iran,ایران,Video displays the event at which Mohammad Khatami gave a speech on the day of Ashura.,ویدیو رویدادی که در آن محمد خاتمی در روز عاشورا سخنرانی کرد را نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohammad Khatami ,محمد خاتمی,Speech by Khatami on The Day of Ashura,سخنرانی خاتمی در روزعاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
video3_004.mp4,۱۳۸۸,2009,2009,Jamaran,جماران,Tehran,تهران,Iran,ایران,Video displays the event at which Mohammad Khatami gave a speech on the day of Ashura.,ویدیو رویدادی که در آن محمد خاتمی در روز عاشورا سخنرانی کرد را نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohammad Khatami ,محمد خاتمی,Speech by Khatami on The Day of Ashura,سخنرانی خاتمی در روزعاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
video3_005.mp4,۱۳۸۸,2009,2009,Jamaran,جماران,Tehran,تهران,Iran,ایران,Video displays Mohammad Khatami giving a speech on the day of Ashura.,ویدیو محمد خاتمی را در حال سخنرانی در روز عاشورا نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohammad Khatami ,محمد خاتمی,Speech by Khatami on The Day of Ashura,سخنرانی خاتمی در روزعاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
video3_007.mp4,۱۳۸۸,2009,2009,,,,,Iran,ایران,Video displays Mohsen Mirdamadi speaking on his experiences after the 2009 election aftermath.,ویدیو سخنان محسن میردامادی را پیرامون تجارب وی پس از پسایند انتخابات ۸۸ نشان میدهد.,Speech / Green Movement,سخنرانی / جنبش سبز,Mohsen Mirdamadi ,محسن میردامادی,Statements of Mirdamadi ,سخنان میردامادی,video,,video recordings,ویدیو
video3_008.mp4,۱۳۸۸,2009,2009,,,,,Iran,ایران,Video displays cleric Yousef Saanei praising the importance of honesty and condemning voting for a deceptive candidate in the presidential election.Mir-Hossein Mousavi is present at this event next to Saanei.,ویدیو یوسف صانعی را در حال سخنرانی پیرامون اهمیت راستی و محکوم کردن رای دادن به نامزدی دروغگو در انتخابات ریاست جمهوری نشان میدهد. میرحسین موسوی در کنار صانعی در اینجا حضور دارد.,Speech / Green Movement,سخنرانی / جنبش سبز,Yousef Saanei / Mir-Hossein Mousavi ,یوسف صانعی / میرحسین موسوی ,Speech by Saanei with Mousavi Present,سخنرانی صانعی با حضور موسوی,video,,video recordings,ویدیو
video3_009.mp4,۱۳۸۸,2009,2009,,,,,Iran,ایران,Video displays Ahmad Sayyed Javadi criticizing the illegal prosecution of protestors. Sayyed Javadi has held several political offices and was a member of Freedom Movement of Iran. Freedom Movement of Iran was suppressed severely by Ahmadinejad’s government.,ویدیو سخنان احمد صدر حاج سید جوادی را در حال محاکمه غیر قانونی تظاهرکنندگان نشان میدهد. حاج سید جوادی پست های سیاسی بسیاری بر عهده داشته و از نخستین اعضای نهضت آزادی ایران میباشد. نهضت آزادی ایران سرکوب های بسیاری را از طرف دولت احمدینژاد متحمل شده است.,Green Movement,جنبش سبز,Ahmad Sayyed Javadi ,احمد صدر حاج سید جوادی,Statements of Ahmad Sayyed Javadi,سخنان حاج سید جوادی,video,,video recordings,ویدیو
video3_010.mp4,۱۳۸۸,2009,2009,,,,,Iran,ایران,Video displays Ahmad Sayyed Javadi reading a poem. Sayyed Javadi has held several political offices and was a member of Freedom Movement of Iran. Freedom Movement of Iran was suppressed severely by Ahmadinejad’s government.,ویدیو احمد صدر حاج سید جوادی را در حال خواندن شعری نشان میدهد. حاج سید جوادی پست های سیاسی بسیاری بر عهده داشته و از نخستین اعضای نهضت آزادی ایران میباشد. نهضت آزادی ایران سرکوب های بسیاری را از طرف دولت احمدینژاد متحمل شده است.,Green Movement,جنبش سبز,Ahmad Sayyed Javadi ,احمد صدر حاج سید جوادی,Ahmad Sayyed Javadi ,احمد صدر حاج سید جوادی,video,,video recordings,ویدیو
video3_011.mp4,۱۳۸۸/۱۰/۰۶,12/27/2009,2009-12-27,,,Tehran,تهران,Iran,ایران,Video displays the protestors in Tehran on Valiasr Street on the day of Ashura.,ویدیو تظاهرکنندگان را در خیابان ولیعصر تهران در روز عاشورا نشان میدهد.,Protest,تظاهرات,,,Protest on The Day of Ashura,تظاهرات روز عاشورا,video,"35.689198, 51.388974",video recordings,ویدیو
