filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
new_001.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_002.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_003.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_004.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_005.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_006.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,"Photograph displays protestors holding a sign of “Neither Western, nor Eastern only national Green government.”","تصویر تظاهرکننده ای را در حال نمایاندن شعار ""نه شرقی نه غربی دولت سبز ملی"" نشان میدهد.",Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_007.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_008.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_009.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_010.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_011.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_012.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_013.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
new_014.jpg,۱۳۸۸/۰۸/۱۳,11/4/2009,2009-11-04,Ferdowsi University of Mashhad,دانشگاه فردوسی مشهد,Mashhad,مشهد,Iran,ایران,Photograph displays protest at Ferdowsi University of Mashhad. ,تصویر تظاهرات در دانشگاه فردوسی مشهد را نشان میدهد.,Student Movement,جنبش دانشجویی,,,Protest at Ferdowsi University ,تظاهرات در دانشگاه فردوسی,still image,"36.309569, 59.526502",color photographs,تصویر رنگی
